rust-fannkuch 2 warm,,,
,,,
36.129685760s,,,36.129685760
35.331047837s,,,35.331047837
33.221887615s,,,33.221887615
36.271010753s,,,36.271010753
35.966853026s,,,35.966853026
36.383783570s,,,36.383783570
34.297462368s,,,34.297462368
36.775116847s,,,36.775116847
35.352293190s,,,35.352293190
35.059068921s,,,35.059068921
33.757841181s,,,33.757841181
33.094588948s,,,33.094588948
34.571582467s,,,34.571582467
34.819643079s,,,34.819643079
34.880863348s,,,34.880863348
34.559595147s,,,34.559595147
35.787174092s,,,35.787174092
37.014608916s,,,37.014608916
36.997226008s,,,36.997226008
36.062753959s,,,36.062753959
35.289193270s,,,35.289193270
35.521768637s,,,35.521768637
36.844455679s,,,36.844455679
36.634657049s,,,36.634657049
35.960774195s,,,35.960774195
35.588556705s,,,35.588556705
35.577332991s,,,35.577332991
36.775864153s,,,36.775864153
36.832749694s,,,36.832749694
35.279923908s,,,35.279923908
36.998565984s,,,36.998565984
37.207440178s,,,37.207440178
37.029799863s,,,37.029799863
37.247625433s,,,37.247625433
36.248205959s,,,36.248205959
32.859182028s,,,32.859182028
36.056413387s,,,36.056413387
36.617953168s,,,36.617953168
36.669836837s,,,36.669836837
35.364090501s,,,35.364090501
34.971553261s,,,34.971553261
37.024147993s,,,37.024147993
35.987655473s,,,35.987655473
36.535702434s,,,36.535702434
36.154672818s,,,36.154672818
35.467196816s,,,35.467196816
31.750629809s,,,31.750629809
36.730692807s,,,36.730692807
35.315442095s,,,35.315442095
36.486010107s,,,36.486010107
36.042947841s,,,36.042947841
36.892042318s,,,36.892042318
35.237718682s,,,35.237718682
39.530299072s,,,39.530299072
35.988580509s,,,35.988580509
37.046777471s,,,37.046777471
35.257967436s,,,35.257967436
35.981340409s,,,35.981340409
37.050519862s,,,37.050519862
36.205382708s,,,36.205382708
36.268037290s,,,36.268037290
34.472643938s,,,34.472643938
32.930951366s,,,32.930951366
33.459790054s,,,33.459790054
33.135297434s,,,33.135297434
32.475143947s,,,32.475143947
35.727556898s,,,35.727556898
35.227668433s,,,35.227668433
35.868309629s,,,35.868309629
32.871672236s,,,32.871672236
32.764354930s,,,32.764354930
32.538081146s,,,32.538081146
33.514817905s,,,33.514817905
33.575022256s,,,33.575022256
34.049711321s,,,34.049711321
33.230429025s,,,33.230429025
34.022423872s,,,34.022423872
35.860978723s,,,35.860978723
33.893234406s,,,33.893234406
33.865545750s,,,33.865545750
35.137713303s,,,35.137713303
34.620494350s,,,34.620494350
34.847437544s,,,34.847437544
32.304426238s,,,32.304426238
32.938239998s,,,32.938239998
31.702929297s,,,31.702929297
32.555563185s,,,32.555563185
32.065988232s,,,32.065988232
32.189842333s,,,32.189842333
32.611483267s,,,32.611483267
32.345380236s,,,32.345380236
33.251323650s,,,33.251323650
34.625429302s,,,34.625429302
32.477483401s,,,32.477483401
32.928375711s,,,32.928375711
34.258814613s,,,34.258814613
