httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
6.191951238s,HTTP/1.1,172.200.182.157,GET,273,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.34.53,200,curl/7.81.0,6745b7800001e4e59118d038,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T11:56:48.129085676Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,4c961fb3d682e9a4,,2024-11-26T11:56:41.930241Z,projects/charismatic-tea-434516-a5/traces/3b289ce7ec9638124e3f16a6354f09bd,true
6.258291361s,HTTP/1.1,13.67.162.193,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.34.53,200,curl/7.81.0,6745b771000433173881e242,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T11:56:33.280740640Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,9d03dcae702b9f8b,,2024-11-26T11:56:27.010259Z,projects/charismatic-tea-434516-a5/traces/d838c32d4cc5eb331b2dec7f51974a5d,true
6.203687003s,HTTP/1.1,13.67.162.193,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.34.53,200,curl/7.81.0,6745b6ed000603f033982c8d,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T11:54:21.519802757Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,f8203fae23ec804e,,2024-11-26T11:54:13.601958Z,projects/charismatic-tea-434516-a5/traces/9ed2c29fdd160fc768f36bd2effefe99,
6.277405434s,HTTP/1.1,172.200.182.157,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.38.53,200,curl/7.81.0,6745b6e70002e38c2aa2c67f,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T11:54:15.194570504Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,1eea689c6b55f4d2,,2024-11-26T11:54:08.904681Z,projects/charismatic-tea-434516-a5/traces/da91fc402d015b7b425cb51cedd7921b,true
6.241458886s,HTTP/1.1,172.200.182.157,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.38.53,200,curl/7.81.0,6745b6590001e917e2ae4a48,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T11:51:53.214977139Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,779496766b53904c,,2024-11-26T11:51:44.828997Z,projects/charismatic-tea-434516-a5/traces/a7ef3c1853d48e5ef57fb995c0848804,
6.306657937s,HTTP/1.1,13.67.162.193,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.32.53,200,curl/7.81.0,6745b652000d77f04a21bc10,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T11:51:46.887434712Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,7180c3542e98b7d1,,2024-11-26T11:51:40.568555Z,projects/charismatic-tea-434516-a5/traces/3b4ee45393bdc543033e50b6cd7fad7b,true
6.196085142s,HTTP/1.1,13.67.162.193,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.32.53,200,curl/7.81.0,6745b5c4000c0ff23a7f37df,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T11:49:24.927223658Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,c908ebfb2a2fbc9e,,2024-11-26T11:49:16.909905Z,projects/charismatic-tea-434516-a5/traces/692d573001eac2b5adb9c853f5847baa,
6.248286521s,HTTP/1.1,172.200.182.157,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.32.53,200,curl/7.81.0,6745b5be00090e75cc2db22e,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T11:49:18.596266269Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,e48dda012f29eafb,,2024-11-26T11:49:12.337543Z,projects/charismatic-tea-434516-a5/traces/45e264a034da2e5737978796e929ab05,true
6.199539890s,HTTP/1.1,172.200.182.157,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.36.53,200,curl/7.81.0,6745b5300009bafd70059b63,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T11:46:56.769283223Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,195b2742ff37ca18,,2024-11-26T11:46:48.355499Z,projects/charismatic-tea-434516-a5/traces/141f9e4e162f1dab8e6fd4d700a8b609,
6.286043532s,HTTP/1.1,13.67.162.193,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.36.53,200,curl/7.81.0,6745b52a0006ac1b66258c0a,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T11:46:50.441875442Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,af3bdbc26e77cd04,,2024-11-26T11:46:44.144182Z,projects/charismatic-tea-434516-a5/traces/73f3ee5ea1f4b13fcfbe92dc0d1cd5f3,true
